Citation
"Abe, T., K. Wada, Y. Kato, S. Makino, and I. Okochi. 2011. Alien pollinator promotes invasive mutualism in an insular pollination system. Biological Invasions 13: 957–967."
"Aizen, M. A., M. Lozada, and C. L. Morales. 2011. Comparative nectar-foraging behaviors and efficiencies of an alien and a native bumble bee. Biological Invasions 13: 2901–2909."
"Aizen, M., and P. Feinsinger. 1994. Habitat fragmentation, native insect pollinators, and feral honey-bees. Ecological Applications 4: 378–392."
"Arbetman, M. P., I. Meeus, C. L. Morales, M. A. Aizen, and G. Smagghe. 2013. Alien parasite hitchhikes to Patagonia on invasive bumblebee. Biological Invasions 15: 489–494."
"Aslan, C. E., C. T. Liang, B. Galindo, K. Hill, and W. Topete. 2016. The role of honey bees as pollinators in natural areas. Natural Areas Journal 36: 478–488."
"Badano, E. I., and C. H. Vergara. 2011. Potential negative effects of exotic honey bees on the diversity of native pollinators and yield of highland coffee plantations. Agricultural and Forest Entomology 13: 365–372."
"Balfour, N. J., M. Garbuzov, and F. L. W. Ratnieks. 2013. Longer tongues and swifter handling: why do more bumble bees (Bombus spp.) than honey bees (Apis mellifera) forage on lavender (Lavandula spp.)? Ecological Entomology 38: 323–329."
"Balfour, N. J., S. Gandy, and F. L. W. Ratnieks. 2015. Exploitative competition alters bee foraging and flower choice. Behavioral Ecology and Sociobiology 69: 1731–1738."
"Barthell, J. F., J. M. Randall, R. W. Thorp, and A. M. Wenner. 2001. Promotion of seed set in yellow star-thistle by honey bees: evidence of an invasive mutualism. Ecological Applications 11: 1870–1883."
"Bartomeus, I., M. Vila, and I. Steffan-Dewenter. 2010. Combined effects of Impatiens glandulifera invasion and landscape structure on native plant pollination. Journal of Ecology 98: 440–450."
"Batra, S. W. T. 1999. Native bees (Hymenoptera: Apoidea) in native trees: Nyssa sylvatica Marsh. (Cornaceae). Proceedings of the Entomological Society of Washington 101: 449–457."
"Beavon, M. A., and D. Kelly. 2012. Invasional meltdown: pollination of the invasive Liana passiflora tripartita var. mollissima (Passifloraceae) in New Zealand. New Zealand Journal of Ecology 36: 100–107."
"Bruckman, D., and D. R. Campbell. 2014. Floral neighborhood influences pollinator assemblages and effective pollination in a native plant. Oecologia 176: 465–476."
"Cameron, S. A., H. C. Lim, J. D. Lozier, M. A. Duennes, and R. Thorp. 2016. Test of the invasive pathogen hypothesis of bumble bee decline in North America. Proceedings of the National Academy of Sciences USA 113: 4386–4391."
"Cane, J. H., and V. J. Tepedino. 2017. Gauging the effect of honey bee pollen collection on native bee communities. Conservation Letters 10: 205-210."
